Path,Model,Prompt,Language,Samples,Jaccard,Micro F1,Macro F1,Precision,Recall,Hamming,F1_anger,F1_anticipation,F1_disgust,F1_fear,F1_joy,F1_sadness,F1_surprise,F1_trust
predictions/qlora_predictions_EN_r16_a8.json,QLoRA,unknown,EN,2630,0.5600823827629912,0.5777708300765984,0.5748892912376979,0.6365272496831432,0.5992395437262358,0.1283745247148289,0.6059027777777778,0.5533678756476684,0.5076923076923077,0.601418439716312,0.6443298969072165,0.6058981233243967,0.5391304347826087,0.541374474053296
predictions/qlora_predictions_CZ_r8_a16.json,QLoRA,unknown,CZ,977,0.34763001413462,0.41982300884955753,0.4030470118964078,0.4414375883413755,0.43640395769361995,0.2096980552712385,0.5219047619047619,0.4530386740331492,0.3261802575107296,0.3146853146853147,0.49846153846153846,0.3973509933774834,0.3333333333333333,0.37942122186495175
predictions/qlora_predictions_RU_r16_a8.json,QLoRA,unknown,RU,357,0.3310924369747899,0.39117352056168503,0.36695983559710077,0.4056956115779645,0.40943043884220354,0.21253501400560224,0.4563758389261745,0.43119266055045874,0.30985915492957744,0.41025641025641024,0.46875,0.48484848484848486,0.15217391304347827,0.2222222222222222
predictions/lora_predictions_RU.json,LoRA,unknown,RU,357,0.2571895424836601,0.30505050505050507,0.2887983199891264,0.3202614379084967,0.3118580765639589,0.24089635854341737,0.30344827586206896,0.3761467889908257,0.24615384615384617,0.3087248322147651,0.3770491803278688,0.30303030303030304,0.14583333333333334,0.25
predictions/few_shot/predictions_multi.json,Few-shot Prompting,few-shot,MULTI,4108,0.35086474706727866,0.4233119222935924,0.42442213959221226,0.40368792599805253,0.5217867575462513,0.2240141187925998,0.47286012526096033,0.3967446592065107,0.3914120561519405,0.42528735632183906,0.49490994518402504,0.46562287270251873,0.375497215592681,0.3730428863172226
predictions/few_shot/predictions_vn.json,Few-shot Prompting,few-shot,VNM,956,0.29769874476987446,0.3709090909090909,0.3601525536827942,0.37229776847977686,0.4233786610878661,0.2488232217573222,0.36155606407322655,0.42249240121580545,0.23577235772357724,0.32525951557093424,0.4037854889589905,0.4405797101449275,0.3333333333333333,0.35844155844155845
predictions/few_shot/predictions_cz.json,Few-shot Prompting,few-shot,CZ,977,0.2777087293463957,0.35858585858585856,0.3504971310091145,0.34094165813715455,0.40678949164107814,0.2599795291709314,0.3801295896328294,0.39398496240601505,0.29333333333333333,0.3413173652694611,0.34146341463414637,0.3879093198992443,0.32492997198879553,0.3409090909090909
predictions/few_shot/predictions_en.json,Few-shot Prompting,few-shot,EN,2630,0.40524714828897335,0.4770687323250953,0.4829258526377959,0.44821926489226865,0.6082572877059569,0.20213878326996199,0.5438735177865612,0.4108606557377049,0.4502262443438914,0.5132978723404256,0.544611819235226,0.5536332179930796,0.4281842818428184,0.4187192118226601
predictions/few_shot/predictions_ru.json,Few-shot Prompting,few-shot,RU,357,0.30350140056022407,0.38979963570127507,0.38145545306076545,0.35873015873015873,0.4481792717086835,0.234593837535014,0.36231884057971014,0.416,0.3142857142857143,0.3130434782608696,0.42592592592592593,0.46357615894039733,0.39285714285714285,0.36363636363636365
predictions/few_shot/predictions_vnm.json,Few-shot Prompting,few-shot,VNM,144,0.2491898148148148,0.3184713375796178,0.3060276223167126,0.29988425925925927,0.4045138888888889,0.2786458333333333,0.2711864406779661,0.3404255319148936,0.17142857142857143,0.27450980392156865,0.32558139534883723,0.42857142857142855,0.27586206896551724,0.36065573770491804
predictions/zero_shot/predictions_multi.json,Zero-shot Prompting,zero-shot,MULTI,4108,0.36421297584272266,0.3949336790665204,0.3740692164928723,0.4420912157462791,0.3921981499513145,0.18460929892891917,0.45963464938126103,0.41147467503361723,0.2736318407960199,0.40913415794481445,0.46503178928247046,0.4900074019245004,0.2682926829268293,0.21534653465346534
predictions/zero_shot/predictions_vn.json,Zero-shot Prompting,zero-shot,VNM,956,0.2687674337517434,0.3140076174354634,0.2896792822032609,0.36465306834030686,0.28164225941422594,0.21195083682008367,0.21406727828746178,0.39245283018867927,0.16091954022988506,0.20192307692307693,0.36231884057971014,0.45569620253164556,0.35331230283911674,0.17674418604651163
predictions/zero_shot/predictions_cz.json,Zero-shot Prompting,zero-shot,CZ,977,0.25966393722279085,0.2988313856427379,0.28192884127871426,0.35311327192084613,0.2675707949505288,0.21494370522006143,0.25,0.3510204081632653,0.15950920245398773,0.2445414847161572,0.3025210084033613,0.4010416666666667,0.28013029315960913,0.26666666666666666
predictions/zero_shot/predictions_en.json,Zero-shot Prompting,zero-shot,EN,2630,0.42225647293137786,0.44352236053480865,0.41474993671473653,0.4926937352887923,0.4591825095057034,0.17210076045627376,0.5409556313993175,0.4485245901639344,0.30715532286212915,0.4790764790764791,0.5377483443708609,0.5230769230769231,0.29158878504672897,0.189873417721519
predictions/zero_shot/predictions_ru.json,Zero-shot Prompting,zero-shot,RU,357,0.2811624649859944,0.3219178082191781,0.30270372679729485,0.36589635854341734,0.2978524743230626,0.20798319327731093,0.34782608695652173,0.31351351351351353,0.23076923076923078,0.23655913978494625,0.4158415841584158,0.44025157232704404,0.24242424242424243,0.19444444444444445
predictions/zero_shot/predictions_vnm.json,Zero-shot Prompting,zero-shot,VNM,144,0.2444609788359788,0.29201101928374656,0.26793999508854943,0.320271164021164,0.2690972222222222,0.2230902777777778,0.12,0.4,0.15384615384615385,0.2222222222222222,0.30303030303030304,0.4406779661016949,0.32727272727272727,0.17647058823529413
predictions/instruction-based/predictions_multi.json,Instruction-based Prompting,instruction-based,MULTI,4108,0.36597753512310477,0.42899211551249167,0.4154727544631697,0.4292321602448185,0.4422995780590717,0.18290530671859787,0.4517675254643499,0.4215633423180593,0.3368146214099217,0.42391304347826086,0.5231481481481481,0.49910873440285203,0.31275720164609055,0.35470941883767537
predictions/instruction-based/predictions_cz.json,Instruction-based Prompting,instruction-based,CZ,977,0.260474240873422,0.3248847926267281,0.3097626149048179,0.33623336745138177,0.3113613101330604,0.22492323439099285,0.2926829268292683,0.3763213530655391,0.2119205298013245,0.2974683544303797,0.35374149659863946,0.3873684210526316,0.2553191489361702,0.30327868852459017
predictions/instruction-based/predictions_en.json,Instruction-based Prompting,instruction-based,EN,2630,0.4196641318124208,0.4829246276515721,0.46618810514006603,0.47588719898605825,0.5101774397972116,0.16335551330798478,0.5275109170305677,0.46503496503496505,0.36594202898550726,0.4852941176470588,0.6042154566744731,0.559915164369035,0.3392857142857143,0.382306477093207
predictions/instruction-based/predictions_ru.json,Instruction-based Prompting,instruction-based,RU,357,0.26237161531279174,0.3325942350332594,0.30751928648564625,0.33286647992530344,0.31559290382819793,0.2107843137254902,0.3063063063063063,0.3157894736842105,0.2608695652173913,0.37168141592920356,0.37383177570093457,0.44559585492227977,0.1388888888888889,0.24719101123595505
predictions/instruction-based/predictions_vnm.json,Instruction-based Prompting,instruction-based,VNM,144,0.2864583333333333,0.33962264150943394,0.3144434491955235,0.3715277777777778,0.3315972222222222,0.2126736111111111,0.18181818181818182,0.3389830508474576,0.16666666666666666,0.32653061224489793,0.5098039215686274,0.463768115942029,0.2926829268292683,0.23529411764705882
predictions/structure-based/predictions_multi.json,Structure Prompting,structure-based,MULTI,4108,0.33535378123985715,0.39296284117066754,0.38315179011816247,0.3918167802661474,0.46694660824407663,0.22468354430379747,0.4388412017167382,0.3972911963882618,0.3092979127134725,0.37307896131425544,0.4223463687150838,0.45426642111724985,0.2810077519379845,0.3890845070422535
predictions/structure-based/predictions_vn.json,Structure Prompting,structure-based,VNM,956,0.2995292887029289,0.3658277206664303,0.34517540823110665,0.38763947001394705,0.3891213389121339,0.2339173640167364,0.34946236559139787,0.39631336405529954,0.13978494623655913,0.34545454545454546,0.4601366742596811,0.4564102564102564,0.30303030303030304,0.3108108108108108
predictions/structure-based/predictions_cz.json,Structure Prompting,structure-based,CZ,977,0.25540771067894913,0.31613539270456786,0.3097280398866047,0.32352439440464004,0.35136472193790513,0.2662487205731832,0.3325526932084309,0.3140495867768595,0.21495327102803738,0.312,0.32592592592592595,0.35784313725490197,0.26755852842809363,0.35294117647058826
predictions/structure-based/predictions_en.json,Structure Prompting,structure-based,EN,2630,0.38371356147021546,0.4371683706483758,0.4241096922788975,0.4333016476552598,0.5330544993662865,0.20670152091254754,0.5290836653386454,0.43455031166518254,0.30606860158311344,0.4288256227758007,0.4512396694214876,0.506806282722513,0.31259968102073366,0.4237037037037037
predictions/structure-based/predictions_ru.json,Structure Prompting,structure-based,RU,357,0.2623982926503935,0.3342830009496676,0.32154786991468015,0.32492997198879553,0.36928104575163395,0.24544817927170867,0.3333333333333333,0.31446540880503143,0.26666666666666666,0.34523809523809523,0.4025974025974026,0.38596491228070173,0.20930232558139536,0.3148148148148148
predictions/structure-based/predictions_vnm.json,Structure Prompting,structure-based,VNM,144,0.25775462962962964,0.31295843520782396,0.29002369434572584,0.32696759259259256,0.3402777777777778,0.2439236111111111,0.11538461538461539,0.3793103448275862,0.14285714285714285,0.32786885245901637,0.4375,0.417910447761194,0.15789473684210525,0.34146341463414637
